OBJECTID,index,cx,cy,dx,dy,newX,newY
166,a61.2x-82.8,61.2,-82.8,-1.0430992,1.7516739,62.2430992,-84.5516739
167,a64.8x-82.8,64.8,-82.8,-1.1893494,1.6776306,65.9893494,-84.4776306
168,a68.4x-82.8,68.4,-82.8,-1.3265396,1.6002914,69.7265396,-84.4002914
169,a72x-82.8,72,-82.8,-1.4542618,1.520076,73.4542618,-84.320076
170,a75.6x-82.8,75.6,-82.8,-1.5710358,1.4372665,77.1710358,-84.2372665
171,a79.2x-82.8,79.2,-82.8,-1.6767471,1.3526718,80.8767471,-84.1526718
172,a82.8x-82.8,82.8,-82.8,-1.7722351,1.2670471,84.5722351,-84.0670471
173,a86.4x-82.8,86.4,-82.8,-1.8574692,1.1809265,88.2574692,-83.9809265
174,a90x-82.8,90,-82.8,-1.932518,1.0948212,91.932518,-83.8948212
175,a93.6x-82.8,93.6,-82.8,-1.997496,1.0092041,95.597496,-83.8092041
176,a97.2x-82.8,97.2,-82.8,-2.0526016,0.9245636,99.2526016,-83.7245636
177,a100.8x-82.8,100.8,-82.8,-2.0966904,0.841655,102.8966904,-83.641655
178,a104.4x-82.8,104.4,-82.8,-2.1310974,0.7608749,106.5310974,-83.5608749
179,a108x-82.8,108,-82.8,-2.1567383,0.6824677,110.1567383,-83.4824677
180,a111.6x-82.8,111.6,-82.8,-2.1740173,0.6067383,113.7740173,-83.4067383
181,a115.2x-82.8,115.2,-82.8,-2.1833694,0.5339462,117.3833694,-83.3339462
182,a118.8x-82.8,118.8,-82.8,-2.1852371,0.4642975,120.9852371,-83.2642975
183,a122.4x-82.8,122.4,-82.8,-2.1800858,0.3979675,124.5800858,-83.1979675
184,a126x-82.8,126,-82.8,-2.1672668,0.3357727,128.1672668,-83.1357727
185,a129.6x-82.8,129.6,-82.8,-2.1484741,0.2772247,131.7484741,-83.0772247
186,a133.2x-82.8,133.2,-82.8,-2.1242798,0.2222931,135.3242798,-83.0222931
187,a136.8x-82.8,136.8,-82.8,-2.0951416,0.170993,138.8951416,-82.970993
188,a140.4x-82.8,140.4,-82.8,-2.0614868,0.1233017,142.4614868,-82.9233017
189,a144x-82.8,144,-82.8,-2.0237579,0.0791733,146.0237579,-82.8791733
190,a147.6x-82.8,147.6,-82.8,-1.9822601,0.0385925,149.5822601,-82.8385925
191,a151.2x-82.8,151.2,-82.8,-1.9369629,0.0020096,153.1369629,-82.8020096
192,a154.8x-82.8,154.8,-82.8,-1.8889038,-0.0313538,156.6889038,-82.7686462
193,a158.4x-82.8,158.4,-82.8,-1.8384033,-0.0616272,160.2384033,-82.7383728
194,a162x-82.8,162,-82.8,-1.7857666,-0.0889557,163.7857666,-82.7110443
195,a165.6x-82.8,165.6,-82.8,-1.7312836,-0.1134842,167.3312836,-82.6865158
196,a169.2x-82.8,169.2,-82.8,-1.6752136,-0.1353653,170.8752136,-82.6646347
197,a172.8x-82.8,172.8,-82.8,-1.6177399,-0.1546295,174.4177399,-82.6453705
198,a176.4x-82.8,176.4,-82.8,-1.5590454,-0.1712769,177.9590454,-82.6287231
199,a-176.4x-79.2,-176.4,-79.2,1.3601013,-0.3184845,-177.7601013,-78.8815155
200,a-172.8x-79.2,-172.8,-79.2,1.4230072,-0.3289291,-174.2230072,-78.8710709
201,a-169.2x-79.2,-169.2,-79.2,1.487027,-0.3394196,-170.687027,-78.8605804
202,a-165.6x-79.2,-165.6,-79.2,1.5520691,-0.3499023,-167.1520691,-78.8500977
203,a-162x-79.2,-162,-79.2,1.6180573,-0.3603546,-163.6180573,-78.8396454
204,a-158.4x-79.2,-158.4,-79.2,1.6849457,-0.3707764,-160.0849457,-78.8292236
205,a-154.8x-79.2,-154.8,-79.2,1.7527344,-0.38116,-156.5527344,-78.81884
206,a-151.2x-79.2,-151.2,-79.2,1.8213928,-0.3915207,-153.0213928,-78.8084793
207,a-147.6x-79.2,-147.6,-79.2,1.89086,-0.4018738,-149.49086,-78.7981262
208,a-144x-79.2,-144,-79.2,1.9612732,-0.412265,-145.9612732,-78.787735
209,a-140.4x-79.2,-140.4,-79.2,2.0324493,-0.4227783,-142.4324493,-78.7772217
210,a-136.8x-79.2,-136.8,-79.2,2.1043884,-0.4335052,-138.9043884,-78.7664948
211,a-133.2x-79.2,-133.2,-79.2,2.1771057,-0.4445755,-135.3771057,-78.7554245
212,a-129.6x-79.2,-129.6,-79.2,2.250647,-0.4561188,-131.850647,-78.7438812
213,a-126x-79.2,-126,-79.2,2.325119,-0.4682877,-128.325119,-78.7317123
214,a-122.4x-79.2,-122.4,-79.2,2.4006821,-0.4812958,-124.8006821,-78.7187042
215,a-118.8x-79.2,-118.8,-79.2,2.4778931,-0.495578,-121.2778931,-78.704422
216,a-115.2x-79.2,-115.2,-79.2,2.5569809,-0.5111801,-117.7569809,-78.6888199
217,a-111.6x-79.2,-111.6,-79.2,2.6384949,-0.5282623,-114.2384949,-78.6717377
218,a-108x-79.2,-108,-79.2,2.7231903,-0.5468857,-110.7231903,-78.6531143
219,a-104.4x-79.2,-104.4,-79.2,2.811998,-0.5669739,-107.211998,-78.6330261
220,a-100.8x-79.2,-100.8,-79.2,2.9060776,-0.5882446,-103.7060776,-78.6117554
221,a-97.2x-79.2,-97.2,-79.2,3.0072754,-0.6100876,-100.2072754,-78.5899124
222,a-93.6x-79.2,-93.6,-79.2,3.1185974,-0.6306641,-96.7185974,-78.5693359
223,a-90x-79.2,-90,-79.2,3.2406006,-0.6473495,-93.2406006,-78.5526505
224,a-86.4x-79.2,-86.4,-79.2,3.3743378,-0.6565735,-89.7743378,-78.5434265
225,a-82.8x-79.2,-82.8,-79.2,3.5198624,-0.6538727,-86.3198624,-78.5461273
226,a-79.2x-79.2,-79.2,-79.2,3.6757782,-0.6341965,-82.8757782,-78.5658035
227,a-75.6x-79.2,-75.6,-79.2,3.8389114,-0.5924026,-79.4389114,-78.6075974
228,a-72x-79.2,-72,-79.2,4.0033569,-0.521228,-76.0033569,-78.678772
229,a-68.4x-79.2,-68.4,-79.2,4.1592117,-0.4177124,-72.5592117,-78.7822876
230,a-64.8x-79.2,-64.8,-79.2,4.2992966,-0.2866241,-69.0992966,-78.9133759
231,a-61.2x-79.2,-61.2,-79.2,4.4179733,-0.1314651,-65.6179733,-79.0685349
232,a-57.6x-79.2,-57.6,-79.2,4.5110001,0.0434006,-62.1110001,-79.2434006
233,a-54x-79.2,-54,-79.2,4.5755234,0.2333038,-58.5755234,-79.4333038
234,a-50.4x-79.2,-50.4,-79.2,4.6098724,0.4335831,-55.0098724,-79.6335831
235,a-46.8x-79.2,-46.8,-79.2,4.6093208,0.6399048,-51.4093208,-79.8399048
236,a-43.2x-79.2,-43.2,-79.2,4.5760353,0.8467911,-47.7760353,-80.0467911
237,a-39.6x-79.2,-39.6,-79.2,4.5133461,1.0505493,-44.1133461,-80.2505493
238,a-36x-79.2,-36,-79.2,4.4226036,1.2482651,-40.4226036,-80.4482651
239,a-32.4x-79.2,-32.4,-79.2,4.3054558,1.4373825,-36.7054558,-80.6373825
240,a-28.8x-79.2,-28.8,-79.2,4.1638023,1.6157043,-32.9638023,-80.8157043
241,a-25.2x-79.2,-25.2,-79.2,3.9997795,1.7813461,-29.1997795,-80.9813461
242,a-21.6x-79.2,-21.6,-79.2,3.8129524,1.9300812,-25.4129524,-81.1300812
243,a-18x-79.2,-18,-79.2,3.6091976,2.0625046,-21.6091976,-81.2625046
244,a-14.4x-79.2,-14.4,-79.2,3.3918892,2.1786469,-17.7918892,-81.3786469
245,a-10.8x-79.2,-10.8,-79.2,3.1636908,2.2781723,-13.9636908,-81.4781723
246,a-7.2x-79.2,-7.2,-79.2,2.9272326,2.3609283,-10.1272326,-81.5609283
247,a-3.6x-79.2,-3.6,-79.2,2.6850761,2.4270905,-6.2850761,-81.6270905
248,a0x-79.2,0,-79.2,2.4396553,2.4774368,-2.4396553,-81.6774368
249,a3.6x-79.2,3.6,-79.2,2.1935633,2.5107925,1.4064367,-81.7107925
250,a7.2x-79.2,7.2,-79.2,1.9491517,2.5314301,5.2508483,-81.7314301
251,a10.8x-79.2,10.8,-79.2,1.7077539,2.5402649,9.0922461,-81.7402649
252,a14.4x-79.2,14.4,-79.2,1.4703583,2.5385254,12.9296417,-81.7385254
253,a18x-79.2,18,-79.2,1.2376251,2.5276764,16.7623749,-81.7276764
254,a21.6x-79.2,21.6,-79.2,1.0099159,2.5092209,20.5900841,-81.7092209
255,a25.2x-79.2,25.2,-79.2,0.7875263,2.4841507,24.4124737,-81.6841507
256,a28.8x-79.2,28.8,-79.2,0.5710247,2.4525726,28.2289753,-81.6525726
257,a32.4x-79.2,32.4,-79.2,0.359465,2.4156693,32.040535,-81.6156693
258,a36x-79.2,36,-79.2,0.1528778,2.3735016,35.8471222,-81.5735016
259,a39.6x-79.2,39.6,-79.2,-0.0486092,2.3261459,39.6486092,-81.5261459
260,a43.2x-79.2,43.2,-79.2,-0.2447441,2.2736176,43.4447441,-81.4736176
261,a46.8x-79.2,46.8,-79.2,-0.435157,2.2159241,47.235157,-81.4159241
262,a50.4x-79.2,50.4,-79.2,-0.6188103,2.1526535,51.0188103,-81.3526535
263,a54x-79.2,54,-79.2,-0.7944794,2.0835846,54.7944794,-81.2835846
264,a57.6x-79.2,57.6,-79.2,-0.9623398,2.0095871,58.5623398,-81.2095871
265,a61.2x-79.2,61.2,-79.2,-1.1217468,1.9309662,62.3217468,-81.1309662
266,a64.8x-79.2,64.8,-79.2,-1.2721054,1.8480881,66.0721054,-81.0480881
267,a68.4x-79.2,68.4,-79.2,-1.4128815,1.761441,69.8128815,-80.961441
268,a72x-79.2,72,-79.2,-1.543602,1.6715439,73.543602,-80.8715439
269,a75.6x-79.2,75.6,-79.2,-1.6626724,1.5787704,77.2626724,-80.7787704
270,a79.2x-79.2,79.2,-79.2,-1.7699554,1.4839828,80.9699554,-80.6839828
271,a82.8x-79.2,82.8,-79.2,-1.8663513,1.3880356,84.6663513,-80.5880356
272,a86.4x-79.2,86.4,-79.2,-1.9518448,1.2915543,88.3518448,-80.4915543
273,a90x-79.2,90,-79.2,-2.0265198,1.1951569,92.0265198,-80.3951569
274,a93.6x-79.2,93.6,-79.2,-2.0905365,1.0994308,95.6905365,-80.2994308
275,a97.2x-79.2,97.2,-79.2,-2.1441086,1.0049255,99.3441086,-80.2049255
276,a100.8x-79.2,100.8,-79.2,-2.1860916,0.9125107,102.9860916,-80.1125107
277,a104.4x-79.2,104.4,-79.2,-2.2179276,0.8225983,106.6179276,-80.0225983
278,a108x-79.2,108,-79.2,-2.2406158,0.7354706,110.2406158,-79.9354706
279,a111.6x-79.2,111.6,-79.2,-2.2546295,0.6514404,113.8546295,-79.8514404
280,a115.2x-79.2,115.2,-79.2,-2.2604416,0.5708054,117.4604416,-79.7708054
281,a118.8x-79.2,118.8,-79.2,-2.258548,0.4938019,121.058548,-79.6938019
282,a122.4x-79.2,122.4,-79.2,-2.2494598,0.4206284,124.6494598,-79.6206284
283,a126x-79.2,126,-79.2,-2.2325897,0.3521927,128.2325897,-79.5521927
284,a129.6x-79.2,129.6,-79.2,-2.2096771,0.2879227,131.8096771,-79.4879227
285,a133.2x-79.2,133.2,-79.2,-2.1813629,0.2277649,135.3813629,-79.4277649
286,a136.8x-79.2,136.8,-79.2,-2.1481354,0.1717041,138.9481354,-79.3717041
287,a140.4x-79.2,140.4,-79.2,-2.1104523,0.1197098,142.5104523,-79.3197098
288,a144x-79.2,144,-79.2,-2.0687408,0.0717056,146.0687408,-79.2717056
289,a147.6x-79.2,147.6,-79.2,-2.0234131,0.0276917,149.6234131,-79.2276917
290,a151.2x-79.2,151.2,-79.2,-1.9744232,-0.0118439,153.1744232,-79.1881561
291,a154.8x-79.2,154.8,-79.2,-1.9228394,-0.0477936,156.7228394,-79.1522064
292,a158.4x-79.2,158.4,-79.2,-1.8689819,-0.0803024,160.2689819,-79.1196976
293,a162x-79.2,162,-79.2,-1.8131561,-0.1095459,163.8131561,-79.0904541
294,a165.6x-79.2,165.6,-79.2,-1.7556671,-0.1356918,167.3556671,-79.0643082
