index,cx,cy,dx,dy
a162x-172.8,162,-172.8,0,0
a165.6x-172.8,165.6,-172.8,6.1E-06,0
a169.2x-172.8,169.2,-172.8,-3.1E-06,0
a172.8x-172.8,172.8,-172.8,3.1E-06,0
a176.4x-172.8,176.4,-172.8,-6.1E-06,0
a-180x-169.2,-180,-169.2,0,0
a-176.4x-169.2,-176.4,-169.2,6.1E-06,0
a-172.8x-169.2,-172.8,-169.2,-3.1E-06,0
a-169.2x-169.2,-169.2,-169.2,3.1E-06,0
a-165.6x-169.2,-165.6,-169.2,-6.1E-06,0
a-162x-169.2,-162,-169.2,0,0
a-158.4x-169.2,-158.4,-169.2,6.1E-06,0
a-154.8x-169.2,-154.8,-169.2,-3.1E-06,0
a-151.2x-169.2,-151.2,-169.2,3.1E-06,0
a-147.6x-169.2,-147.6,-169.2,-6.1E-06,0
a-144x-169.2,-144,-169.2,0,0
a-140.4x-169.2,-140.4,-169.2,6.1E-06,0
a-136.8x-169.2,-136.8,-169.2,-3.1E-06,0
a-133.2x-169.2,-133.2,-169.2,3.1E-06,0
a-129.6x-169.2,-129.6,-169.2,-6.1E-06,0
a-126x-169.2,-126,-169.2,0,0
a-122.4x-169.2,-122.4,-169.2,-1.5E-06,0
a-118.8x-169.2,-118.8,-169.2,-3.1E-06,0
a-115.2x-169.2,-115.2,-169.2,3.1E-06,0
a-111.6x-169.2,-111.6,-169.2,1.5E-06,0
a-108x-169.2,-108,-169.2,0,0
a-104.4x-169.2,-104.4,-169.2,-1.5E-06,0
a-100.8x-169.2,-100.8,-169.2,-3.1E-06,0
a-97.2x-169.2,-97.2,-169.2,3.1E-06,0
a-93.6x-169.2,-93.6,-169.2,1.5E-06,0
a-90x-169.2,-90,-169.2,0,0
a-86.4x-169.2,-86.4,-169.2,-1.5E-06,0
a-82.8x-169.2,-82.8,-169.2,-3.1E-06,0
a-79.2x-169.2,-79.2,-169.2,3.1E-06,0
a-75.6x-169.2,-75.6,-169.2,1.5E-06,0
a-72x-169.2,-72,-169.2,0,0
a-68.4x-169.2,-68.4,-169.2,-1.5E-06,0
a-64.8x-169.2,-64.8,-169.2,-3.1E-06,0
a-61.2x-169.2,-61.2,-169.2,-8E-07,0
