index,x,y,dx,dy
a162x-176.4,162,-176.4,-0.328668936,0.246145284
a165.6x-176.4,165.6,-176.4,-0.331209018,0.285039193
a169.2x-176.4,169.2,-176.4,-0.327391934,0.323964843
a172.8x-176.4,172.8,-176.4,-0.333449534,0.362872531
a176.4x-176.4,176.4,-176.4,-0.329705707,0.401056137
a-180x-172.8,-180,-172.8,-0.20373107,1.813767795
a-176.4x-172.8,-176.4,-172.8,-0.250845963,1.796506538
a-172.8x-172.8,-172.8,-172.8,-0.295250657,1.779202492
a-169.2x-172.8,-169.2,-172.8,-0.345078249,1.761312122
a-165.6x-172.8,-165.6,-172.8,-0.39043982,1.743095016
a-162x-172.8,-162,-172.8,-0.442446114,1.724445249
a-158.4x-172.8,-158.4,-172.8,-0.489594556,1.705029342
a-154.8x-172.8,-154.8,-172.8,-0.542015244,1.685589182
a-151.2x-172.8,-151.2,-172.8,-0.590175525,1.665838988
a-147.6x-172.8,-147.6,-172.8,-0.643028726,1.645149182
a-144x-172.8,-144,-172.8,-0.692872956,1.623967658
a-140.4x-172.8,-140.4,-172.8,-0.745037731,1.601751376
a-136.8x-172.8,-136.8,-172.8,-0.796381979,1.578371951
a-133.2x-172.8,-133.2,-172.8,-0.848444055,1.553920692
a-129.6x-172.8,-129.6,-172.8,-0.899949561,1.528529836
a-126x-172.8,-126,-172.8,-0.951785791,1.501457177
a-122.4x-172.8,-122.4,-172.8,-1.003013686,1.47383111
a-118.8x-172.8,-118.8,-172.8,-1.054352962,1.444871177
a-115.2x-172.8,-115.2,-172.8,-1.105073155,1.414339916
a-111.6x-172.8,-111.6,-172.8,-1.155578823,1.381638056
a-108x-172.8,-108,-172.8,-1.205068126,1.348312552
a-104.4x-172.8,-104.4,-172.8,-1.253632642,1.313268399
a-100.8x-172.8,-100.8,-172.8,-1.302409597,1.276304774
a-97.2x-172.8,-97.2,-172.8,-1.348559972,1.237985964
a-93.6x-172.8,-93.6,-172.8,-1.395565538,1.198511953
a-90x-172.8,-90,-172.8,-1.438574392,1.156678069
a-86.4x-172.8,-86.4,-172.8,-1.48325379,1.11308035
a-82.8x-172.8,-82.8,-172.8,-1.523486352,1.068329686
a-79.2x-172.8,-79.2,-172.8,-1.564445663,1.021980346
a-75.6x-172.8,-75.6,-172.8,-1.601273919,0.973281759
a-72x-172.8,-72,-172.8,-1.637848769,0.923777258
a-68.4x-172.8,-68.4,-172.8,-1.671172828,0.872767174
a-64.8x-172.8,-64.8,-172.8,-1.702330127,0.820306193
a-61.2x-172.8,-61.2,-172.8,-1.731138261,0.766203636
a-57.6x-172.8,-57.6,-172.8,-1.756683071,0.711405358
a-54x-172.8,-54,-172.8,-1.780926595,0.655306241
a-50.4x-172.8,-50.4,-172.8,-1.799751739,0.597807994
a-46.8x-172.8,-46.8,-172.8,-1.818267538,0.541707657
a-43.2x-172.8,-43.2,-172.8,-1.831691507,0.48256121
a-39.6x-172.8,-39.6,-172.8,-1.842779513,0.424406128
a-36x-172.8,-36,-172.8,-1.849839365,0.364559686
