index,cx,cy,dx,dy
a-57.6x-180,-57.6,-180,1.00002E-10,9.99876E-11
a-54x-180,-54,-180,1.00002E-10,9.99876E-11
a-50.4x-180,-50.4,-180,1.00002E-10,9.99876E-11
a-46.8x-180,-46.8,-180,9.99947E-11,9.99876E-11
a-43.2x-180,-43.2,-180,1.00002E-10,9.99876E-11
a-39.6x-180,-39.6,-180,1.00002E-10,9.99876E-11
a-36x-180,-36,-180,1.00002E-10,9.99876E-11
a-32.4x-180,-32.4,-180,1.00002E-10,9.99876E-11
a-28.8x-180,-28.8,-180,1.00002E-10,9.99876E-11
a-25.2x-180,-25.2,-180,9.99982E-11,9.99876E-11
a-21.6x-180,-21.6,-180,1.00002E-10,9.99876E-11
a-18x-180,-18,-180,9.99982E-11,9.99876E-11
a-14.4x-180,-14.4,-180,1E-10,9.99876E-11
a-10.8x-180,-10.8,-180,1E-10,9.99876E-11
a-7.2x-180,-7.2,-180,1E-10,9.99876E-11
a-3.6x-180,-3.6,-180,9.99703E-11,9.99876E-11
a0x-180,9.9988E-11,-180,9.9988E-11,9.99876E-11
a3.6x-180,3.6,-180,9.99498E-11,9.99876E-11
a7.2x-180,7.2,-180,9.99698E-11,9.99876E-11
a10.8x-180,10.8,-180,9.98988E-11,9.99876E-11
a14.4x-180,14.4,-180,9.99005E-11,9.99876E-11
a18x-180,18,-180,9.98988E-11,9.99876E-11
a21.6x-180,21.6,-180,9.98988E-11,9.99876E-11
a25.2x-180,25.2,-180,9.99023E-11,9.99876E-11
a28.8x-180,28.8,-180,9.98988E-11,9.99876E-11
a32.4x-180,32.4,-180,9.99023E-11,9.99876E-11
a36x-180,36,-180,9.99023E-11,9.99876E-11
a39.6x-180,39.6,-180,9.98952E-11,9.99876E-11
a43.2x-180,43.2,-180,9.98952E-11,9.99876E-11
a46.8x-180,46.8,-180,9.99023E-11,9.99876E-11
a50.4x-180,50.4,-180,9.99023E-11,9.99876E-11
a54x-180,54,-180,9.99023E-11,9.99876E-11
a57.6x-180,57.6,-180,9.98952E-11,9.99876E-11
a61.2x-180,61.2,-180,9.98952E-11,9.99876E-11
a64.8x-180,64.8,-180,9.99023E-11,9.99876E-11
a68.4x-180,68.4,-180,9.98881E-11,9.99876E-11
a72x-180,72,-180,9.99023E-11,9.99876E-11
a75.6x-180,75.6,-180,9.99023E-11,9.99876E-11
a79.2x-180,79.2,-180,9.99023E-11,9.99876E-11
a82.8x-180,82.8,-180,9.99023E-11,9.99876E-11
a86.4x-180,86.4,-180,9.98881E-11,9.99876E-11
a90x-180,90,-180,9.99023E-11,9.99876E-11
a93.6x-180,93.6,-180,1.00002E-10,9.99876E-11
a97.2x-180,97.2,-180,9.99023E-11,9.99876E-11
a100.8x-180,100.8,-180,1.00002E-10,9.99876E-11
a104.4x-180,104.4,-180,9.89928E-11,9.99876E-11
a108x-180,108,-180,9.9007E-11,9.99876E-11
a111.6x-180,111.6,-180,1.00002E-10,9.99876E-11
a115.2x-180,115.2,-180,9.89928E-11,9.99876E-11
a118.8x-180,118.8,-180,1.00002E-10,9.99876E-11
a122.4x-180,122.4,-180,9.99876E-11,9.99876E-11
a126x-180,126,-180,9.9007E-11,9.99876E-11
a129.6x-180,129.6,-180,9.89928E-11,9.99876E-11
a133.2x-180,133.2,-180,9.90212E-11,9.99876E-11
a136.8x-180,136.8,-180,9.99876E-11,9.99876E-11
a140.4x-180,140.4,-180,9.99876E-11,9.99876E-11
a144x-180,144,-180,9.99876E-11,9.99876E-11
a147.6x-180,147.6,-180,9.89928E-11,9.99876E-11
a151.2x-180,151.2,-180,9.90212E-11,9.99876E-11
a154.8x-180,154.8,-180,9.99876E-11,9.99876E-11
a158.4x-180,158.4,-180,9.99876E-11,9.99876E-11
a162x-180,162,-180,9.99876E-11,9.99876E-11
a165.6x-180,165.6,-180,9.89928E-11,9.99876E-11
a169.2x-180,169.2,-180,9.90212E-11,9.99876E-11
a172.8x-180,172.8,-180,9.99876E-11,9.99876E-11
