index,cx,cy,dx,dy,newX,newY
a-7.2x-172.8,-7.2,-172.8,-180,0,-7.1999998,-172.8
a-3.6x-172.8,-3.6,-172.8,-180,0,-3.5999999,-172.8
a0x-172.8,0,-172.8,-180,0,0,-172.8
a3.6x-172.8,3.6,-172.8,-180,0,3.5999999,-172.8
a7.2x-172.8,7.2,-172.8,-180,0,7.1999998,-172.8
a10.8x-172.8,10.8,-172.8,-180,0,10.8000002,-172.8
a14.4x-172.8,14.4,-172.8,-180,0,14.3999996,-172.8
a18x-172.8,18,-172.8,-180,0,18,-172.8
a21.6x-172.8,21.6,-172.8,-180,0,21.6000004,-172.8
a25.2x-172.8,25.2,-172.8,-180,0,25.2000008,-172.8
a28.8x-172.8,28.8,-172.8,-180,0,28.7999992,-172.8
a32.4x-172.8,32.4,-172.8,-180,0,32.4000015,-172.8
a36x-172.8,36,-172.8,-180,0,36,-172.8
a39.6x-172.8,39.6,-172.8,-180,0,39.5999985,-172.8
a43.2x-172.8,43.2,-172.8,-180,0,43.2000008,-172.8
a46.8x-172.8,46.8,-172.8,-180,0,46.7999992,-172.8
a50.4x-172.8,50.4,-172.8,-180,0,50.4000015,-172.8
a54x-172.8,54,-172.8,-180,0,54,-172.8
a57.6x-172.8,57.6,-172.8,-180,0,57.5999985,-172.8
a61.2x-172.8,61.2,-172.8,-180,0,61.2000008,-172.8
a64.8x-172.8,64.8,-172.8,-180,0,64.8000031,-172.8
a68.4x-172.8,68.4,-172.8,-180,0,68.4000015,-172.8
a72x-172.8,72,-172.8,-180,0,72,-172.8
a75.6x-172.8,75.6,-172.8,-180,0,75.5999985,-172.8
a79.2x-172.8,79.2,-172.8,-180,0,79.1999969,-172.8
a82.8x-172.8,82.8,-172.8,-180,0,82.8000031,-172.8
a86.4x-172.8,86.4,-172.8,-180,0,86.4000015,-172.8
a90x-172.8,90,-172.8,-180,0,90,-172.8
a93.6x-172.8,93.6,-172.8,-180,0,93.5999985,-172.8
a97.2x-172.8,97.2,-172.8,-180,0,97.1999969,-172.8
a100.8x-172.8,100.8,-172.8,-180,0,100.8000031,-172.8
a104.4x-172.8,104.4,-172.8,-180,0,104.4000015,-172.8
a108x-172.8,108,-172.8,-180,0,108,-172.8
a111.6x-172.8,111.6,-172.8,-180,0,111.5999985,-172.8
a115.2x-172.8,115.2,-172.8,-180,0,115.1999969,-172.8
a118.8x-172.8,118.8,-172.8,-180,0,118.8000031,-172.8
a122.4x-172.8,122.4,-172.8,-180,0,122.4000015,-172.8
