OBJECTID,index,x,y,newX,newY
3169,a64.8x-68.4,64.799999999999997,-68.400000000000006,75.5124588,-98.322391555682941
3170,a68.4x-68.4,68.400000000000006,-68.400000000000006,79.5674591,-97.871384053957343
3171,a72x-68.4,72.000000000000000,-68.400000000000006,83.8954239,-97.340096299897482
3172,a75.6x-68.4,75.599999999999994,-68.400000000000006,88.0728760,-96.790285069208949
3173,a79.2x-68.4,79.200000000000003,-68.400000000000006,91.7295990,-96.287501808309855
3174,a82.8x-68.4,82.799999999999997,-68.400000000000006,95.1047821,-95.809327335410160
3175,a86.4x-68.4,86.400000000000006,-68.400000000000006,98.3511581,-95.335809765471936
3176,a90x-68.4,90.000000000000000,-68.400000000000006,101.5461960,-94.858154092432244
3177,a93.6x-68.4,93.599999999999994,-68.400000000000006,104.7072678,-94.376374378597859
3178,a97.2x-68.4,97.200000000000003,-68.400000000000006,107.8021851,-93.896361040520333
3179,a100.8x-68.4,100.800000000000000,-68.400000000000006,110.8283234,-93.422143425000627
3180,a104.4x-68.4,104.400000000000010,-68.400000000000006,113.7748489,-92.958076149709484
3181,a108x-68.4,108.000000000000000,-68.400000000000006,116.6284103,-92.562421095718832
3182,a111.6x-68.4,111.599999999999990,-68.400000000000006,119.3945770,-92.186777836324609
3183,a115.2x-68.4,115.200000000000000,-68.400000000000006,122.0561371,-91.834474459729392
3184,a118.8x-68.4,118.800000000000000,-68.400000000000006,124.6329041,-91.502073767915647
3185,a122.4x-68.4,122.400000000000010,-68.400000000000006,127.1267929,-91.189463977712080
3186,a126x-68.4,126.000000000000000,-68.400000000000006,129.4880219,-90.910352981014114
3187,a129.6x-68.4,129.599999999999990,-68.400000000000006,131.7488556,-90.656427101590907
3188,a133.2x-68.4,133.199999999999990,-68.400000000000006,133.9104004,-90.424004417771755
3189,a136.8x-68.4,136.800000000000010,-68.400000000000006,135.9117432,-90.228119188490950
3190,a140.4x-68.4,140.400000000000010,-68.400000000000006,137.7725830,-90.058753825194117
3191,a144x-68.4,144.000000000000000,-68.400000000000006,139.5117493,-89.908273868480080
3192,a147.6x-68.4,147.599999999999990,-68.400000000000006,141.0118866,-89.793138274703097
3193,a151.2x-68.4,151.199999999999990,-68.400000000000006,142.5075684,-89.693554345761186
3194,a154.8x-68.4,154.800000000000010,-68.400000000000006,143.9125214,-89.624581016228831
3195,a158.4x-68.4,158.400000000000010,-68.400000000000006,145.5618286,-89.545910310323620
3196,a162x-68.4,162.000000000000000,-68.400000000000006,147.7803955,-89.364330011635900
3197,a165.6x-68.4,165.599999999999990,-68.400000000000006,150.8903351,-88.907805948886278
3198,a169.2x-68.4,169.199999999999990,-68.400000000000006,154.9901428,-88.093831011979205
3199,a172.8x-68.4,172.800000000000010,-68.400000000000006,159.6429443,-87.068776748615164
3200,a176.4x-68.4,176.400000000000010,-68.400000000000006,164.4794769,-85.973386691547773
3201,a-180x-64.8,-180.000000000000000,-64.799999999999997,-178.8332520,-76.819184779214879
