index,cx,cy,dx,dy,newX,newY
a-151.2x-172.8,-151.2,-172.8,3.1E-06,0,-151.1999969,-172.8
a-147.6x-172.8,-147.6,-172.8,-6.1E-06,0,-147.6000061,-172.8
a-144x-172.8,-144,-172.8,0,0,-144,-172.8
a-140.4x-172.8,-140.4,-172.8,6.1E-06,0,-140.3999939,-172.8
a-136.8x-172.8,-136.8,-172.8,-3.1E-06,0,-136.8000031,-172.8
a-133.2x-172.8,-133.2,-172.8,3.1E-06,0,-133.1999969,-172.8
a-129.6x-172.8,-129.6,-172.8,-6.1E-06,0,-129.6000061,-172.8
a-126x-172.8,-126,-172.8,0,0,-126,-172.8
a-122.4x-172.8,-122.4,-172.8,-1.5E-06,0,-122.4000015,-172.8
a-118.8x-172.8,-118.8,-172.8,-3.1E-06,0,-118.8000031,-172.8
a-115.2x-172.8,-115.2,-172.8,3.1E-06,0,-115.1999969,-172.8
a-111.6x-172.8,-111.6,-172.8,1.5E-06,0,-111.5999985,-172.8
a-108x-172.8,-108,-172.8,0,0,-108,-172.8
a-104.4x-172.8,-104.4,-172.8,-1.5E-06,0,-104.4000015,-172.8
a-100.8x-172.8,-100.8,-172.8,-3.1E-06,0,-100.8000031,-172.8
a-97.2x-172.8,-97.2,-172.8,3.1E-06,0,-97.1999969,-172.8
a-93.6x-172.8,-93.6,-172.8,1.5E-06,0,-93.5999985,-172.8
a-90x-172.8,-90,-172.8,0,0,-90,-172.8
a-86.4x-172.8,-86.4,-172.8,-1.5E-06,0,-86.4000015,-172.8
a-82.8x-172.8,-82.8,-172.8,-3.1E-06,0,-82.8000031,-172.8
a-79.2x-172.8,-79.2,-172.8,3.1E-06,0,-79.1999969,-172.8
a-75.6x-172.8,-75.6,-172.8,1.5E-06,0,-75.5999985,-172.8
a-72x-172.8,-72,-172.8,0,0,-72,-172.8
a-68.4x-172.8,-68.4,-172.8,-1.5E-06,0,-68.4000015,-172.8
a-64.8x-172.8,-64.8,-172.8,-3.1E-06,0,-64.8000031,-172.8
a-61.2x-172.8,-61.2,-172.8,-8E-07,0,-61.2000008,-172.8
a-57.6x-172.8,-57.6,-172.8,1.5E-06,0,-57.5999985,-172.8
a-54x-172.8,-54,-172.8,0,0,-54,-172.8
a-50.4x-172.8,-50.4,-172.8,-1.5E-06,0,-50.4000015,-172.8
a-46.8x-172.8,-46.8,-172.8,8E-07,0,-46.7999992,-172.8
a-43.2x-172.8,-43.2,-172.8,-8E-07,0,-43.2000008,-172.8
a-39.6x-172.8,-39.6,-172.8,1.5E-06,0,-39.5999985,-172.8
a-36x-172.8,-36,-172.8,0,0,-36,-172.8
a-32.4x-172.8,-32.4,-172.8,-1.5E-06,0,-32.4000015,-172.8
a-28.8x-172.8,-28.8,-172.8,8E-07,0,-28.7999992,-172.8
a-25.2x-172.8,-25.2,-172.8,-8E-07,0,-25.2000008,-172.8
a-21.6x-172.8,-21.6,-172.8,-4E-07,0,-21.6000004,-172.8
a-18x-172.8,-18,-172.8,0,0,-18,-172.8
a-14.4x-172.8,-14.4,-172.8,4E-07,0,-14.3999996,-172.8
a-10.8x-172.8,-10.8,-172.8,-2E-07,0,-10.8000002,-172.8
a-7.2x-172.8,-7.2,-172.8,2E-07,0,-7.1999998,-172.8
a-3.6x-172.8,-3.6,-172.8,1E-07,0,-3.5999999,-172.8
a0x-172.8,0,-172.8,0,0,0,-172.8
a3.6x-172.8,3.6,-172.8,-1E-07,0,3.5999999,-172.8
a7.2x-172.8,7.2,-172.8,-2E-07,0,7.1999998,-172.8
a10.8x-172.8,10.8,-172.8,2E-07,0,10.8000002,-172.8
a14.4x-172.8,14.4,-172.8,-4E-07,0,14.3999996,-172.8
a18x-172.8,18,-172.8,0,0,18,-172.8
a21.6x-172.8,21.6,-172.8,4E-07,0,21.6000004,-172.8
a25.2x-172.8,25.2,-172.8,8E-07,0,25.2000008,-172.8
a28.8x-172.8,28.8,-172.8,-8E-07,0,28.7999992,-172.8
a32.4x-172.8,32.4,-172.8,1.5E-06,0,32.4000015,-172.8
a36x-172.8,36,-172.8,0,0,36,-172.8
a39.6x-172.8,39.6,-172.8,-1.5E-06,0,39.5999985,-172.8
a43.2x-172.8,43.2,-172.8,8E-07,0,43.2000008,-172.8
a46.8x-172.8,46.8,-172.8,-8E-07,0,46.7999992,-172.8
a50.4x-172.8,50.4,-172.8,1.5E-06,0,50.4000015,-172.8
a54x-172.8,54,-172.8,0,0,54,-172.8
a57.6x-172.8,57.6,-172.8,-1.5E-06,0,57.5999985,-172.8
a61.2x-172.8,61.2,-172.8,8E-07,0,61.2000008,-172.8
a64.8x-172.8,64.8,-172.8,3.1E-06,0,64.8000031,-172.8
a68.4x-172.8,68.4,-172.8,1.5E-06,0,68.4000015,-172.8
a72x-172.8,72,-172.8,0,0,72,-172.8
a75.6x-172.8,75.6,-172.8,-1.5E-06,0,75.5999985,-172.8
a79.2x-172.8,79.2,-172.8,-3.1E-06,0,79.1999969,-172.8
a82.8x-172.8,82.8,-172.8,3.1E-06,0,82.8000031,-172.8
a86.4x-172.8,86.4,-172.8,1.5E-06,0,86.4000015,-172.8
a90x-172.8,90,-172.8,0,0,90,-172.8
a93.6x-172.8,93.6,-172.8,-1.5E-06,0,93.5999985,-172.8
a97.2x-172.8,97.2,-172.8,-3.1E-06,0,97.1999969,-172.8
a100.8x-172.8,100.8,-172.8,3.1E-06,0,100.8000031,-172.8
a104.4x-172.8,104.4,-172.8,1.5E-06,0,104.4000015,-172.8
a108x-172.8,108,-172.8,0,0,108,-172.8
a111.6x-172.8,111.6,-172.8,-1.5E-06,0,111.5999985,-172.8
a115.2x-172.8,115.2,-172.8,-3.1E-06,0,115.1999969,-172.8
a118.8x-172.8,118.8,-172.8,3.1E-06,0,118.8000031,-172.8
a122.4x-172.8,122.4,-172.8,1.5E-06,0,122.4000015,-172.8
a126x-172.8,126,-172.8,0,0,126,-172.8
a129.6x-172.8,129.6,-172.8,6.1E-06,0,129.6000061,-172.8
a133.2x-172.8,133.2,-172.8,-3.1E-06,0,133.1999969,-172.8
a136.8x-172.8,136.8,-172.8,3.1E-06,0,136.8000031,-172.8
a140.4x-172.8,140.4,-172.8,-6.1E-06,0,140.3999939,-172.8
a144x-172.8,144,-172.8,0,0,144,-172.8
a147.6x-172.8,147.6,-172.8,6.1E-06,0,147.6000061,-172.8
a151.2x-172.8,151.2,-172.8,-3.1E-06,0,151.1999969,-172.8
a154.8x-172.8,154.8,-172.8,3.1E-06,0,154.8000031,-172.8
a158.4x-172.8,158.4,-172.8,-6.1E-06,0,158.3999939,-172.8
a162x-172.8,162,-172.8,0,0,162,-172.8
a165.6x-172.8,165.6,-172.8,6.1E-06,0,165.6000061,-172.8
a169.2x-172.8,169.2,-172.8,-3.1E-06,0,169.1999969,-172.8
a172.8x-172.8,172.8,-172.8,3.1E-06,0,172.8000031,-172.8
a176.4x-172.8,176.4,-172.8,-6.1E-06,0,176.3999939,-172.8
a-180x-169.2,-180,-169.2,0,9.9476E-13,-180,-169.2
a-176.4x-169.2,-176.4,-169.2,6.1E-06,9.9476E-13,-176.3999939,-169.2
a-172.8x-169.2,-172.8,-169.2,-3.1E-06,9.9476E-13,-172.8000031,-169.2
a-169.2x-169.2,-169.2,-169.2,3.1E-06,9.9476E-13,-169.1999969,-169.2
a-165.6x-169.2,-165.6,-169.2,-6.1E-06,9.9476E-13,-165.6000061,-169.2
