UO_ID,NameInIndex,case,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink,Alternate Link,Region_final,Sex or gender V2,country,continent
100,Alberoni Card.,case1,d.,1752,,,,,,88,1664,1752,,Alberoni,Statesmen and Warriors,8,126,134,43,https://en.wikipedia.org/wiki/Giulio_Alberoni,,Italy,male,Italy,Europe
101,Albert,case2,d.,1308,,,,,,,1263,1308,,Albert,Statesmen and Warriors,17,126,143,43,https://en.wikipedia.org/wiki/Albert_I_of_Germany,,BLANK 3,male,Switzerland,Europe
102,Albertet,"case3
",,,,,fl.,1289,,,1266,1312,M,Albertet,Mathematicians &cc Physicians,23,68,91,43,https://en.wikipedia.org/wiki/Albertet_de_Sestaro,,France,male,France,Europe
103,Alberti Leo Baptista,"case3
",,,,,fl.,1443,,,1420,1466,Ar,L. B. Alberti,Artists Poets,20,42,62,43,https://en.wikipedia.org/wiki/Leon_Battista_Alberti,,Italy,male,Italy,Europe
104,Albertus Magnus,case2,d.,1280,,,,,,,1235,1280,M,Albertus Mag:,Mathematicians &cc Physicians,22,68,90,43,https://en.wikipedia.org/wiki/Albertus_Magnus,,Germany,missing from OpenRefine results,Germany,Europe
105,Albinus,case2,d.,198,,,,,,,153,198,,Albinus,Statesmen and Warriors,16,126,142,43,https://en.wikipedia.org/wiki/Clodius_Albinus,,Africa,male,Tunisia,Africa
106,Albirouni,"case3
",,,,,fl.,995,,,972,1018,M,Albirouni,Mathematicians &cc Physicians,21,68,89,34,https://en.wikipedia.org/wiki/Al-Biruni,,BLANK 1,male,Unknown,Unknown
107,Alboinus the Lombard,case2,d.,595,,,,,,,550,595,,Alboinus,Statesmen and Warriors,10,126,136,43,https://en.wikipedia.org/wiki/Alboin,,,male,Unknown,Unknown
108,Albuassin,"case3
",,,,,fl.,1255,,,1232,1278,M,Albuassin,Mathematicians &cc Physicians,14,68,82,34,,https://books.google.com/books?id=8BoAAAAAMAAJ&pg=PA102&lpg=PA102&dq=ALBOAZEN+HALY&source=bl&ots=YUlOv4nLlL&sig=ACfU3U0KoSo4d4xzasE_0Y8kC23qxXrzgQ&hl=en&sa=X&ved=2ahUKEwiY573C18DnAhVIop4KHd44A9sQ6AEwAXoECAgQAQ#v=onepage&q=ALBOAZEN%20HALY&f=false,,missing from OpenRefine results,Unknown,Unknown
109,Albucasis,"case3
",,,,,fl.,1120,,,1097,1143,Ph,Albucasis,Mathematicians &cc Physicians,3,68,71,43,https://en.wikipedia.org/wiki/Al-Zahrawi,,Spain,male,Spain,Europe
110,Albumazar,"case3
",,,,,fl.,841,,,818,864,M,Albumazar,Mathematicians &cc Physicians,19,68,87,43,https://en.wikipedia.org/wiki/Abu_Ma%CA%BFshar,,India,male,Afghanistan,Asia
111,Albuquerque,case1,d.,1515,,,,,,63,1452,1515,,Albuquerque,Statesmen and Warriors,17,126,143,43,https://en.wikipedia.org/wiki/Afonso_de_Albuquerque,,,male,Portugal,Europe
112,Alcaeus,"case3
",,,,,fl.,-607,,,-630,-584,P,Alcaeus,Artists Poets,6,42,48,43,https://en.wikipedia.org/wiki/Alcaeus_of_Mytilene,,,missing from OpenRefine results,Greece,Europe
113,Alchabitius,"case3
",,,,,fl.,1480,,,1457,1503,M,Alchabitius,Mathematicians &cc Physicians,14,68,82,43,https://en.wikipedia.org/wiki/Al-Qabisi,,,male,Unknown,Unknown
114,Alciat,case1,d.,1550,,,,,,57,1493,1550,L,Alciat,Historians and Antiquaries Lawyers,5,0,5,43,https://en.wikipedia.org/wiki/Andrea_Alciato,,Italy,male,Italy|Italy,Europe|Europe
115,Alcibiades,case1,d.,-404,,,,,,46,-450,-404,,Alcibiades,Statesmen and Warriors,14,126,140,43,https://en.wikipedia.org/wiki/Alcibiades,,Turky in Europe,missing from OpenRefine results,Classical Athens,Europe
116,Alcimus Avitus,case2,d.,523,,,,,,,478,523,F,Alc. Avitus,Divines and Metaphysicians &cc,19,98,117,43,https://en.wikipedia.org/wiki/Avitus_of_Vienne,,France,male,France,Europe
117,Alcman,"case3
",,,,,fl.,-670,,,-693,-647,P,Alcman,Artists Poets,5,42,47,43,https://en.wikipedia.org/wiki/Alcman,,,missing from OpenRefine results,Turkey,Asia|Europe
118,Alcuinus,case2,d.,814,,,,,,,769,814,D,Alcuinus,Divines and Metaphysicians &cc,14,98,112,43,https://en.wikipedia.org/wiki/Alcuin,,Great Britain,male,United Kingdom,Europe
