Alive precision,AliveDate,Alternate Link,Alternate_ID,Alternate_name,BirthDate,BornPrecision,DeathDate,DeathPrecision,FullTextPageNum,Index Category 1,LifeLength,LifeLength Precision,LineNumber,NameInIndex,NameOnChart,On Chart: Line #,OnChartCategory,Region_final,Section starting Line,Sex or gender V2,UO_ID,Watkins_ID,WikiLink,WikiLink in MM10?,aproxBirthDate,aproxDeathDate,case,continent,country,discrepancy
,,,,"Agricola, Rodolphus",,,1485.0,d.,42.0,Cr,43.0,,41.0,Agricola Rodolphus,Agricola R.,19.0,Orators and Critics &cc,France,22.0,male,73.0,232.0,https://en.wikipedia.org/wiki/Rodolphus_Agricola,https://en.wikipedia.org/wiki/Rodolphus_Agricola,1442.0,1485.0,case1,Europe|Central America,Netherlands,
,,,,Agrippa I. Herod,,,64.0,d.,42.0,,54.0,,129.0,Agrippa,Agrippa,3.0,Statesmen and Warriors,0,126.0,male,74.0,237.0,https://en.wikipedia.org/wiki/Herod_Agrippa,https://en.wikipedia.org/wiki/Herod_Agrippa,10.0,64.0,case1,0,0,
fl.,90.0,,,"Agrippa, of Bithynia",,,,,42.0,M,,,84.0,Agrippa Byth,Agrippa By:,16.0,Mathematicians &cc Physicians,0,68.0,male,75.0,235.0,https://en.wikipedia.org/wiki/Agrippa_(astronomer),https://en.wikipedia.org/wiki/Agrippa_(astronomer),67.0,113.0,"case3
",0,0,
,,,,"Agrippa, Henry Cornelius",,,1534.0,d.,42.0,M,48.0,,89.0,Agrippa Cornelius,C. Agrippa,21.0,Mathematicians &cc Physicians,Germany,68.0,male,76.0,236.0,https://en.wikipedia.org/wiki/Heinrich_Cornelius_Agrippa,https://en.wikipedia.org/wiki/Heinrich_Cornelius_Agrippa,1486.0,1534.0,case1,Europe,Germany,
,,,,"Agrippa, Marcus-Vipsanius",,,-12.0,d.,42.0,,51.0,,146.0,Agrippa Vipsenius,V. Agrippa,20.0,Statesmen and Warriors,Italy,126.0,male,77.0,239.0,https://en.wikipedia.org/wiki/Marcus_Vipsanius_Agrippa,https://en.wikipedia.org/wiki/Marcus_Vipsanius_Agrippa,-63.0,-12.0,case1,Europe|Europe|Europe,Italy|Croatia|Slovenia,
,,,,"Agripina, the younger",,,59.0,d.,42.0,,,,148.0,Agrippina Junior,Agrippina,22.0,Statesmen and Warriors,Germany,126.0,female,78.0,241.0,https://en.wikipedia.org/wiki/Agrippina_the_Younger,https://en.wikipedia.org/wiki/Agrippina_the_Younger,14.0,59.0,case2,Europe,Germany,
,,,,Ahab,,,-897.0,d.,42.0,,,,139.0,Ahab,Ahab,13.0,Statesmen and Warriors,0,126.0,male,79.0,245.0,https://en.wikipedia.org/wiki/Ahab,missing from MM10,-942.0,-897.0,case2,0,0,
,,,,Ahaz,,,-726.0,d.,42.0,,,,139.0,Ahaz,Ahaz,13.0,Statesmen and Warriors,Turky in Asia,126.0,male,80.0,246.0,https://en.wikipedia.org/wiki/Ahaz,missing from MM10,-771.0,-726.0,case2,0,0,
,,,,,,,883.0,d.,42.0,,,,130.0,Ahmed,Ahmed,4.0,Statesmen and Warriors,Turky in Asia,126.0,male,81.0,,https://en.wikipedia.org/wiki/Ahmad_ibn_Tulun,https://en.wikipedia.org/wiki/Ahmad_ibn_Tulun,838.0,883.0,case2,Asia,Iraq,
,,,,Aidan,,,651.0,d.,42.0,D,,,123.0,Aidan,Aidan,25.0,Divines and Metaphysicians &cc,Great Britain,98.0,male,82.0,250.0,https://en.wikipedia.org/wiki/Aidan_of_Lindisfarne,https://en.wikipedia.org/wiki/Aidan_of_Lindisfarne,606.0,651.0,case2,Europe,Ireland,
,,,,Ailly Peter d',,,1420.0,d.,42.0,D,70.0,,103.0,Ailli,Ailli,5.0,Divines and Metaphysicians &cc,France,98.0,male,83.0,252.0,https://en.wikipedia.org/wiki/Pierre_d%27Ailly,https://en.wikipedia.org/wiki/Pierre_d%27Ailly,1350.0,1420.0,case1,Europe,France,
