NameInIndex,UO_ID,Bio Name,BioSource,Biography,Citation,Region_final,Sex or gender V2,case,VisualCase,IndexLifeCode,DeathPrecision,DeathDate,BornPrecision,BirthDate,Alive precision,AliveDate,LifeLength Precision,LifeLength,aproxBirthDate,aproxDeathDate,Index Category 1,NameOnChart,OnChartCategory,On Chart: Line #,Section starting Line,LineNumber,FullTextPageNum,WikiLink
Adado'dawla,32.0,Adado'ddawla,Crabb,"Son of Rucni'ddawla, succeeded his uncle Amado'ddawla on the Persian throne, in the year of the Hegira 338, A.D. 948, and died after a reign of 34 years.",,Persia,male,case4,H,d. (LL) ab.,d.,982.0,,,,,ab.,47.0,935.0,982.0,,Adado'dawla,Statesmen and Warriors,6.0,127.0,133,41.0,https://en.wikipedia.org/wiki/%27Adud_al-Dawla
"Adda, R.",33.0,,,,,,male,case3,A,fl.,,,,,fl.,298.0,,,268.0,313.0,M,R. Adda,Mathematicians &cc Physicians,24.0,69.0,93,32.0,https://en.wikipedia.org/wiki/Adda_bar_Ahavah
Addison,34.0,Addison (Joseph),Watkins,"Son of the above, was born at Milston, in Wilts, May 1, 1675. After recieving the rudiments of education, he was sent to the Charter-house, where he contracted an intimacy with sir Richard Steele. In 1687, lie was admitted of Queen's college, Oxford, but afterwards was elected demy at Magdalen. In 1693, he took his degree of M. A. and became eminent for his Latin poetry. At the age of 22, he addressed some verses to Dryden in English, and not long after published a translation of part of Virgil's fourth Georgic. About this time he wrote the arguments prefixed to the several books of Dryden's Virgil, and composed the essay on the Georgies. In 1695, he addressed a poem to king William which recommended him to lord Somers. In 1699, he obtained a pension of 300/. a year, to enable him to travel. He went through France and Italy, improving his mind to the best advantage, as appears from his ""Letter to Lord Halifax,"" reckoned the most elegant of his poetical works, and his ""Travels in Italy,"" which he dedicated at his return to lord Somers. He returned home in 1702, and found his old friends out of place. In 1704, he was introduced by lord Halifax to lord Godolphin as a fit person to celebrate the victory of Blenheim; on which occasion he produced the Campaign, for which he was rewarded with the place of commissioner of appeals. Next year he went to Hanover with lord Halifax, and soon after was appointed under-secretary of state. The rage for Italian operas which then prevailed, induced him to write his ""Rosamond,"" which did not succeed, probably because it was English. When the marquis of Wharton went to Ireland as lord lieutenant, Addison accompanied him as secretarv, and was made keeper of the records there, with a salary of 300/. a year. While he was in Ireland, Steele commenced the Tatler, to which Addison liberally contributed. This was followed by the Spectator, which was enriched by the contributions of Addison, whose papers are distinguished by one of the letters of tire word CLIO. In 1713, his tragedy of Cato was brought upon the stage, amidst the plaudits of both whigs and tories. Cato was praised by most of the contemporary poets, criticised by Dennis, attacked as a party play at Oxford, and vindicated by Dr. Sewel. It was translated into Italian, and performed at Florence, and into Latin at the college of St. Omers. At this time the Guardian appeared, to which Addison contributed, and his papers are marked by a hand. But the violence of politics soon put a stop to this paper, and Addison engaged in the party warfare, but his political pieces sunk into neglect. An attempt was made to revive the Spectator, but after the publication of eighty numbers, which compose the eighth volume, the work was relinquished. Addison's quota amounts to about a fourth part. In 1715, he began the Freeholder, and continued it till the middle of the next year, in defence of the government. In 1716, he married the countess dowager of Warwick, after a long courtship. He had been tutor to her son, but the marriage did not prove happy. In 1717, he became secretary of state, which place he soon resigned, on a pension of 1500/. a year. In his retirement he planned a tragedy on the death of Socrates, which he abandoned for a work of a more exalted kind, ""A Defence of the Christian Religion,"" part of which appeared after his death, and makes us regret that he did not live to perfect it. He also laid the plan of an English dictionary in the manner since so happily executed by Dr. Johnson. In 1719, he engaged in a political dispute with Steele, on the peerage-bill, then brought in to restrain the king from creating any new peers except in case of the extinction of an old family. Steele's pamphlet was entitled ""The Plebeian,"" and was calculated to alarm the people on the occasion; and Addison replied to it in another called ""The Old Whig,"" in which he contemptuously styled his opponent ""little Dicky."" That year terminated his life, and he ended it in a manner suitable to his character. He sent for lord Warwick, and affectionately pressing his hand, softly said, ""See in what peace a Christian can die!"" After giving directions to Mr. Tickel respecting the publication of his works, which he himself dedicated on his death-bed to Mr. Craggs, he breathed his last, June 17, 1719, at Holland-house, leaving only one daughter, -who died unmarried, in 1797. Dr. Johnson, after drawing his character in a forcible and elegant manner, says, ""whoever wishes to attain an English style, familiar but not coarse, and elegant but not ostentatious, must give his days and nights to the volumes of Addison.""",,Great Britain,male,case1,C,d. (LL),d.,1719.0,,,,,,54.0,1665.0,1719.0,P,Addison,Artists Poets,6.0,43.0,49,41.0,https://en.wikipedia.org/wiki/Joseph_Addison
"Adelmus, Du",35.0,,,,,,,case3,A,fl.,,,,,fl.,709.0,,,679.0,724.0,M,Adelmus D.,Mathematicians &cc Physicians,18.0,69.0,87,32.0,
Ado,36.0,Ado,Watkins,"Archbishop of Vienne, in Dauphiny, died in 875, aged seventy-five. He wrote, 1. An universal Chronicle, printed at Paris, 1522, folio, and at Rome in 1745, folio. 2. A Martyrclogy, published in 1613.",Dupin,Germany,male,case2,D,d.,d.,874.0,,,,,,,829.0,874.0,H,Ado,Historians and Antiquaries Lawyers,14.0,0.0,14,41.0,https://en.wikipedia.org/wiki/Ado_of_Vienne
Adrian,37.0,Adrian (Publius Aelius),Watkins,"Emperor of Rome, was born there A. D. 76. He entered early into the army, and became tribune of a legion. He married Sabina, the heiress of Trajan, whom he accompanied in his expeditions, and became successively praetor, governor of Pannonia, and consul. On the death of Trajan, in 117, he assumed the government, made peace with the Persians, and remitted the debts of the Roman people. No monarch travelled more than Adrian. In 120, he visited Gaul, from whence he went to Britain, where he built a wall, from the mouth of the Tyne to Sol-way-frith, eighty miles in length, to secure the Roman province from the incursions of the Caledonians. On leaving Britain, he went into Africa and Asia, and was initiated, into the Eleusinian mysteries at Athens, in 125. In his reign the Christians suffered a dreadful persecution. He built a temple to Jupiter on mount Calvary, and placed a statue of Adonis in the manger of Bethlem; he also had the images of swine engraved on the gates of Jerusalem. He died at Baiae in the 63d year of his age, having reigned twenty-one years. On his death-bed he composed, some Latin verses, addressed to his soul which betray his uncertainty with regard to a future state. He had great virtues, which were, however, blended with as, great vices. He adopted Titus Antoninus, on condition that he should adopt Marcus Annius Verus, and the son of Lucius Verus.",,Spain,male,case1,C,d. (LL),d.,138.0,,,,,,72.0,66.0,138.0,,Adrian,Statesmen and Warriors,14.0,127.0,141,41.0,https://en.wikipedia.org/wiki/Hadrian
Adrian 4th,38.0,Adrian IV. (pope),Watkins,"And the only Englishman who ever had that dignity, was born at Langley, near St. Albans. His name was Nicholas Brekespere; and he was some time in the monastery of St. Albans in a low condition. Being refused the habit in that house, he went to France, and became a clerk in the monastery of St. Rufus, in Provence, of which he was afterward chosen abbot. Eugenius III. made him a cardinal in 1146, and in 1148 sent him legate to Denmark and Norway, which nations he converted to the Christian faith. In 1151, he was chosen pope, on which, Henry II. king of England, sent the abbot of St. Albans, with three bishops, to congratulate him. The pope, disregarding the slight formerly put upon him, granted considerable privileges to the monastery of St. Albans, and a bull to Henry for the conquest of Ireland. In 1155, he excommunicated the king of Sicily; and about the same time, the emperor Frederic, meeting the pope near Sutinam, held his stirrup while he mounted on horseback; after which his holiness conducted him to Rome, and consecrated him king of the Romans in St. Peter's church. The next year, the king of Sicily submitted and was absolved. Adrian, by his active conduct, left the papal territory in a better state than he found it in; and died, not without suspicion of poison, in 1159. There are some letters and homilies of his extant.",,Great Britain,male,case2,D,d.,d.,1159.0,,,,,,,1114.0,1159.0,Po,Adrian 4th,Divines and Metaphysicians &cc,24.0,99.0,123,41.0,https://en.wikipedia.org/wiki/Pope_Adrian_IV
Aeacus,39.0,,,,,Turky in Europe,male,none,A,liv.,,,,,,-980.0,,,,0.0,,Aeacus,Statesmen and Warriors,22.0,127.0,149,-99.0,https://en.wikipedia.org/wiki/Aeacus
Aegialeus,40.0,Aegialeus,Crabb,"The son of Adrastus and Demoanassa, was killed at the first Theban war of the epigoni. His six brothers returned victorious.",,,,case3,A,fl.,,,,,fl.,-1080.0,,,-1110.0,-1065.0,,Aegialeus,Statesmen and Warriors,24.0,127.0,151,41.0,
Aegidius,41.0,Giles of Viterbo,Watkins,"An Italian cardinal of the 16th century, who was a great favourite with the popes Julius II. and Leo X. the latter of whom sent him legate to Germany, on which occasion he was made a cardinal. He died in 1532. He wrote Remarks on the Three first Chapters of Genesis; Commentaries on the Psalms; Dialogues; Letters and Poems.",Moreri,Turky in Europe,male,case3,A,fl.,,,,,fl.,1150.0,,,1120.0,1165.0,P,Aegidius,Artists Poets,12.0,43.0,55,41.0,https://en.wikipedia.org/wiki/Giles_of_Viterbo
