OBJECTID,index,cx,cy,x,y,dx,dy
4822,a-104.4x-7.2,-112.2749517,-14.11535098,-104.4,-7.2,-7.87495173,-6.915350979
4823,a-100.8x-7.2,-109.1129918,-14.74158573,-100.8,-7.2,-8.312991808,-7.541585733
4824,a-97.2x-7.2,-105.8549124,-15.53818752,-97.2,-7.2,-8.654912411,-8.338187525
4825,a-93.6x-7.2,-102.400318,-16.58426986,-93.6,-7.2,-8.800318014,-9.384269858
4826,a-90x-7.2,-98.68859224,-17.92455374,-90,-7.2,-8.68859224,-10.72455374
4827,a-86.4x-7.2,-94.76980388,-19.56818226,-86.4,-7.2,-8.369803878,-12.36818226
4828,a-82.8x-7.2,-90.93714606,-21.39372252,-82.8,-7.2,-8.137146056,-14.19372252
4829,a-79.2x-7.2,-87.62650398,-23.16605711,-79.2,-7.2,-8.426503975,-15.96605711
4830,a-75.6x-7.2,-85.22811303,-24.6148349,-75.6,-7.2,-9.628113028,-17.4148349
4831,a-72x-7.2,-83.69121759,-25.66574891,-72,-7.2,-11.69121759,-18.46574891
4832,a-68.4x-7.2,-82.48332012,-26.55963467,-68.4,-7.2,-14.08332012,-19.35963467
4833,a-64.8x-7.2,-81.31710542,-27.47098194,-64.8,-7.2,-16.51710542,-20.27098194
4834,a-61.2x-7.2,-80.13043615,-28.34137815,-61.2,-7.2,-18.93043615,-21.14137815
4835,a-57.6x-7.2,-78.83543081,-29.16203217,-57.6,-7.2,-21.23543081,-21.96203217
4836,a-54x-7.2,-77.29011118,-29.93275542,-54,-7.2,-23.29011118,-22.73275542
4837,a-50.4x-7.2,-75.3238422,-30.5884615,-50.4,-7.2,-24.9238422,-23.3884615
4838,a-46.8x-7.2,-72.8595823,-31.07930643,-46.8,-7.2,-26.0595823,-23.87930643
4839,a-43.2x-7.2,-70.02445658,-31.48498392,-43.2,-7.2,-26.82445658,-24.28498392
4840,a-39.6x-7.2,-66.70502558,-31.96114392,-39.6,-7.2,-27.10502558,-24.76114392
4841,a-36x-7.2,-62.72844228,-32.65654309,-36,-7.2,-26.72844228,-25.45654309
4842,a-32.4x-7.2,-58.07563877,-33.64885168,-32.4,-7.2,-25.67563877,-26.44885168
4843,a-28.8x-7.2,-52.90916056,-34.91132749,-28.8,-7.2,-24.10916056,-27.71132749
4844,a-25.2x-7.2,-47.51668431,-36.30804836,-25.2,-7.2,-22.31668431,-29.10804836
4845,a-21.6x-7.2,-42.05556202,-37.69029206,-21.6,-7.2,-20.45556202,-30.49029206
4846,a-18x-7.2,-36.55094338,-38.98746369,-18,-7.2,-18.55094338,-31.78746369
4847,a-14.4x-7.2,-31.0017929,-40.17503317,-14.4,-7.2,-16.6017929,-32.97503317
4848,a-10.8x-7.2,-25.41497166,-41.23703198,-10.8,-7.2,-14.61497166,-34.03703198
4849,a-7.2x-7.2,-19.80132014,-42.16442288,-7.2,-7.2,-12.60132014,-34.96442288
4850,a-3.6x-7.2,-14.17627894,-42.95255217,-3.6,-7.2,-10.57627894,-35.75255217
4851,a0x-7.2,-8.564597017,-43.59862818,0,-7.2,-8.564597017,-36.39862818
4852,a3.6x-7.2,-3.040582087,-44.08292702,3.6,-7.2,-6.640582087,-36.88292702
4853,a7.2x-7.2,2.296124113,-44.45948087,7.2,-7.2,-4.903875887,-37.25948087
4854,a10.8x-7.2,7.380422345,-44.75620412,10.8,-7.2,-3.419577655,-37.55620412
4855,a14.4x-7.2,12.2321324,-44.98762881,14.4,-7.2,-2.167867603,-37.78762881
4856,a18x-7.2,16.93321905,-45.15679525,18,-7.2,-1.066780946,-37.95679525
4857,a21.6x-7.2,21.58989746,-45.25951528,21.6,-7.2,-0.01010254,-38.05951528
4858,a25.2x-7.2,26.27226154,-45.28948142,25.2,-7.2,1.072261543,-38.08948142
4859,a28.8x-7.2,31.00624796,-45.21808809,28.8,-7.2,2.206247965,-38.01808809
4860,a32.4x-7.2,35.80350542,-45.04185902,32.4,-7.2,3.403505422,-37.84185902
4861,a36x-7.2,40.6949577,-44.74398216,36,-7.2,4.694957702,-37.54398216
4862,a39.6x-7.2,45.65819078,-44.30326366,39.6,-7.2,6.058190785,-37.10326366
4863,a43.2x-7.2,50.63206768,-43.69088042,43.2,-7.2,7.432067675,-36.49088042
4864,a46.8x-7.2,55.55327955,-42.87320433,46.8,-7.2,8.75327955,-35.67320433
4865,a50.4x-7.2,60.44414198,-41.81163886,50.4,-7.2,10.04414198,-34.61163886
4866,a54x-7.2,65.31079519,-40.56786674,54,-7.2,11.31079519,-33.36786674
4867,a57.6x-7.2,70.06232919,-39.27411022,57.6,-7.2,12.46232919,-32.07411022
4868,a61.2x-7.2,74.66508661,-37.98760854,61.2,-7.2,13.46508661,-30.78760854
4869,a64.8x-7.2,79.12832298,-36.73178613,64.8,-7.2,14.32832298,-29.53178613
4870,a68.4x-7.2,83.48695077,-35.50077043,68.4,-7.2,15.08695077,-28.30077043
4871,a72x-7.2,87.77972646,-34.26728251,72,-7.2,15.77972646,-27.06728251
4872,a75.6x-7.2,92.01513418,-32.98949296,75.6,-7.2,16.41513418,-25.78949296
4873,a79.2x-7.2,96.1653468,-31.65247601,79.2,-7.2,16.9653468,-24.45247601
4874,a82.8x-7.2,100.2014058,-30.28031106,82.8,-7.2,17.40140584,-23.08031106
4875,a86.4x-7.2,104.1052211,-28.89720473,86.4,-7.2,17.70522115,-21.69720473
4876,a90x-7.2,107.8474975,-27.53594173,90,-7.2,17.84749748,-20.33594173
4877,a93.6x-7.2,111.3762165,-26.25149599,93.6,-7.2,17.77621654,-19.05149599
4878,a97.2x-7.2,114.6174255,-25.13549596,97.2,-7.2,17.41742552,-17.93549596
4879,a100.8x-7.2,117.5158124,-24.37985835,100.8,-7.2,16.71581241,-17.17985835
4880,a104.4x-7.2,120.3394305,-23.97021754,104.4,-7.2,15.93943049,-16.77021754
4881,a108x-7.2,123.1333005,-23.80621111,108,-7.2,15.13330054,-16.60621111
4882,a111.6x-7.2,125.7430469,-23.86388779,111.6,-7.2,14.14304689,-16.66388779
4883,a115.2x-7.2,128.0394586,-24.13802218,115.2,-7.2,12.83945858,-16.93802218
4884,a118.8x-7.2,130.058789,-24.5858138,118.8,-7.2,11.25878905,-17.3858138
4885,a122.4x-7.2,132.1028007,-25.05620981,122.4,-7.2,9.702800704,-17.85620981
4886,a126x-7.2,134.4656046,-25.26391361,126,-7.2,8.465604599,-18.06391361
4887,a129.6x-7.2,136.9385778,-25.21353067,129.6,-7.2,7.338577753,-18.01353067
4888,a133.2x-7.2,139.4515891,-24.95602516,133.2,-7.2,6.251589058,-17.75602516
4889,a136.8x-7.2,141.9784288,-24.51488575,136.8,-7.2,5.178428808,-17.31488575
4890,a140.4x-7.2,144.5243374,-23.91066308,140.4,-7.2,4.124337404,-16.71066308
4891,a144x-7.2,147.1514774,-23.16602485,144,-7.2,3.15147744,-15.96602485
4892,a147.6x-7.2,150.0532868,-22.29628663,147.6,-7.2,2.45328677,-15.09628663
4893,a151.2x-7.2,153.316231,-21.37891351,151.2,-7.2,2.116231044,-14.17891351
4894,a154.8x-7.2,156.7090721,-20.52524973,154.8,-7.2,1.909072089,-13.32524973
4895,a158.4x-7.2,160.1430489,-19.76226888,158.4,-7.2,1.743048875,-12.56226888
4896,a162x-7.2,163.5816666,-19.08928485,162,-7.2,1.58166665,-11.88928485
4897,a165.6x-7.2,167.0164182,-18.49331063,165.6,-7.2,1.416418248,-11.29331063
4898,a169.2x-7.2,170.447655,-17.95963985,169.2,-7.2,1.247654989,-10.75963985
4899,a172.8x-7.2,173.8740167,-17.47731317,172.8,-7.2,1.074016672,-10.27731317
4900,a176.4x-7.2,177.2977723,-17.02522897,176.4,-7.2,0.897772258,-9.82522897
4901,a-180x-3.6,-181.101845,-7.421923062,-180,-3.6,-1.101845036,-3.821923062
4902,a-176.4x-3.6,-177.6328574,-7.489007143,-176.4,-3.6,-1.232857396,-3.889007143
4903,a-172.8x-3.6,-174.1767459,-7.554913096,-172.8,-3.6,-1.376745884,-3.954913096
4904,a-169.2x-3.6,-170.7363567,-7.618900412,-169.2,-3.6,-1.53635673,-4.018900412
4905,a-165.6x-3.6,-167.3119736,-7.680599687,-165.6,-3.6,-1.711973555,-4.080599687
4906,a-162x-3.6,-163.903617,-7.739686989,-162,-3.6,-1.903617023,-4.139686989
4907,a-158.4x-3.6,-160.512665,-7.795750434,-158.4,-3.6,-2.112664974,-4.195750434
4908,a-154.8x-3.6,-157.1404224,-7.848475649,-154.8,-3.6,-2.340422391,-4.248475649
4909,a-151.2x-3.6,-153.7882746,-7.89770362,-151.2,-3.6,-2.58827462,-4.29770362
4910,a-147.6x-3.6,-150.4582197,-7.94347509,-147.6,-3.6,-2.85821969,-4.34347509
4911,a-144x-3.6,-147.1567658,-7.985824186,-144,-3.6,-3.156765822,-4.385824186
4912,a-140.4x-3.6,-143.8830965,-8.02677285,-140.4,-3.6,-3.483096465,-4.42677285
4913,a-136.8x-3.6,-140.6386792,-8.0686246,-136.8,-3.6,-3.838679227,-4.4686246
4914,a-133.2x-3.6,-137.4260137,-8.114628812,-133.2,-3.6,-4.226013664,-4.514628812
4915,a-129.6x-3.6,-134.2472004,-8.169284973,-129.6,-3.6,-4.647200365,-4.569284973
4916,a-126x-3.6,-131.1037758,-8.238598867,-126,-3.6,-5.103775834,-4.638598867
4917,a-122.4x-3.6,-127.9980472,-8.331035959,-122.4,-3.6,-5.598047214,-4.731035959
4918,a-118.8x-3.6,-124.9350084,-8.467059549,-118.8,-3.6,-6.135008419,-4.867059549
4919,a-115.2x-3.6,-121.9045569,-8.658622935,-115.2,-3.6,-6.704556899,-5.058622935
4920,a-111.6x-3.6,-118.8981568,-8.92620104,-111.6,-3.6,-7.298156786,-5.32620104
4921,a-108x-3.6,-115.9023094,-9.294373248,-108,-3.6,-7.90230944,-5.694373248
4922,a-104.4x-3.6,-112.8961653,-9.791774329,-104.4,-3.6,-8.496165337,-6.191774329
4923,a-100.8x-3.6,-109.8498033,-10.45169683,-100.8,-3.6,-9.049803298,-6.851696825
4924,a-97.2x-3.6,-106.7150111,-11.32908508,-97.2,-3.6,-9.515011058,-7.729085083
4925,a-93.6x-3.6,-103.3862051,-12.53558248,-93.6,-3.6,-9.786205061,-8.935582483
4926,a-90x-3.6,-99.79417114,-14.13932524,-90,-3.6,-9.79417114,-10.53932524
4927,a-86.4x-3.6,-95.96382347,-16.17404806,-86.4,-3.6,-9.563823472,-12.57404806
4928,a-82.8x-3.6,-92.13836927,-18.49756618,-82.8,-3.6,-9.338369266,-14.89756618
4929,a-79.2x-3.6,-88.72798157,-20.79625216,-79.2,-3.6,-9.527981571,-17.19625216
